Texto,Sentimento
os presos la no pais Afeganistao sao torturados e sao quase mortos,medo
"os bandidos estao morando aqui no bairro, proximo a favela",medo
"eu nao posso perder ela, eu amo demais para ficar longe",medo
"socorro, eu vi um fantasma",medo
"eu tenho pavor de mar,morro de medo de me afogar",medo
beira de abismo e loucura,medo
acabou a luz e fiquei com medo,medo
existe muitas pessoas ruins no mundo,medo
"no mato ao lado de casa tem cobra e aranha, e perigoso",medo
"eu nao saio sozinha de noite, so tem louco na rua",medo
arma de fogo e faca sao perigosos,medo
não tenho certeza se e seguro,medo
tenho que correr pra não me pegarem,medo
socorro! ele queria roubar os meus doces!,medo
esse cara está me perseguindo,medo
"não entro lá, e um lugar muito perigoso",medo
este lugar continua assustador,medo
na selva tem muitos animais perigosos,medo
avancem com cautela,medo
"este lugar está silencioso de mais, cuidado!",medo
"por favor, deixe-me viver!",medo
vou ficar sem mesada se tirar nota baixa,medo
parece que tem olhos nos vigiando,medo
eu temo que a sentença do juiz possa ser negativa,medo
mas essa missão e arriscada,medo
salvem-se quem puder!,medo
meu plano pode ser descoberto,medo
"não tive culpa, juro não fui eu",medo
tenho que tomar cuidado com o lobisomem,medo
"se eu não achar, ele vai descobrir a verdade",medo
"meu deus, ele desapareceu!",medo
tomara que eles não me vejam daqui!,medo
"mantenha isso em segredo, se descobrirem estaremos ferrados",medo
"por favor, me soltem, eu sou inocente",medo
estou ouvindo passos atrás de mim,medo
eu vou pedir socorro!,medo
cuidado com as curvas na estrada,medo
"não sei não, parece perigoso",medo
estou tremendo de medo!,medo
"socorro, eu vou cair!",medo
"eu não vou ate a floresta negra, e muito perigoso",medo
ouço passos na minha direção,medo
acho que está arriscado de mais,medo
"vamos voltar, e muito perigoso",medo
"fuja, se não acabaremos mortos",medo
receio por não me livrar desta situação,medo
socorro! ele está armado!,medo
"ei cuidado, você vai bater no poste!",medo
"socorro, nós estamos afundando",medo
"e serio, cuidado com essa arma!",medo
os tubarões estão atacando!,medo
sinto arrepios quando fico sozinho no escuro,medo
"calma, eu não estou com o dinheiro",medo
eu acho que estou sendo enganado,medo
"ligeiro, temos que fugir depressa",medo
tem um crocodilo selvagem vindo para cá,medo
se ficarmos quietos eles não vão nos achar,medo
fuja! o tigre parece faminto,medo
"estou sem saída, preciso de um milagre",medo
tire isso de mim! socorro!,medo
"não sei nadar, vou me afogar!",medo
não tenho certeza se e seguro,medo
vou apanhar se meus pais verem meu boletim,medo
não consigo sair daqui!,medo
"se sair tão tarde, poderei ser assaltada",medo
não me deixe por favor!,medo
"espere, não pode me largar aqui sozinho",medo
temo pela sua segurança,medo
"eu te entrego o dinheiro, por favor não me mate!",medo
ele vai levar todo o meu dinheiro,medo
não dirija tão rápido assim,medo
"me descobriram, irão me prender!",medo
só espero que não me façam nenhum mal,medo
"vou me afogar, me ajudem a sair da água",medo
não estaremos a salvo aqui,medo
não quero nem pensar no que pode acontecer,medo
nessa cidade e uma desgraça atrás da outra,medo
"alguem esta me ligando, estou assustado",medo
"isso não e remedio, não me matem",medo
"eu não confio nele, tenho que ter cautela",medo
muita cautela,medo
"vou ser descoberto, meu deus",medo
receio que terei de ir,medo
a noite e muito perigosa,medo
estou estremecendo com essa casa,medo
olha aquela criatura se movendo monstruosamente,medo
não agüento este suspense,medo
afugente os cães,medo
estou chocado e amedrontado com este assassinato brutal,medo
e preciso afugenta com ímpeto este medo do inferno,medo
seu políticos usam suas forças para afugentar e amedrontar o povo,medo
o objetivo disso e apenas me amedrontar mais,medo
isso me apavora,medo
ele a feriu profundamente,raiva
eu vou matar ele,raiva
"que droga, eu nao passei de ano na escola, pqp",raiva
"pqp, tomei dez multas de transito",raiva
"que droga, perdi tudo no cassino",raiva
me roubaram na rua,raiva
esse trouxa me deixou esperando,raiva
vou despejar minha cólera em você,raiva
me sinto atormentado,raiva
não me contrarie,raiva
meu time perdeu ontem,raiva
"so chove nesse lugar, que merda",raiva
tirei ferias e fui despedido,raiva
fui despedido por justa causa,raiva
vou despedir aquele imcompetente,raiva
"bando de filho da puta, que raiva disso tudo",raiva
"nada mais faz sentido, que droga",raiva
que lerdeza isso,raiva
demora demais a fila,raiva
"nunca vai rapido a fila, sempre demora",raiva
perdi todo meu dinheiro,raiva
"so tem gente feia nessa festa, vamos embora",raiva
vou destruir tudo  que foi construído,raiva
"não consigo terminar este trabalho, e muito frustrante",raiva
me frustra a sua presença aqui,raiva
esta comida me parece muito ruim,raiva
você me destrói,raiva
estamos separados,raiva
estou odiando este vestido,raiva
não pude comprar meu celular hoje,raiva
ela e uma garota ruim,raiva
estivemos em um show horroroso,raiva
o ingresso estava muito caro,raiva
se eu estragar tudo vai por água a baixo,raiva
não possuo dinheiro algum,raiva
sou muito pobre,raiva
vai prejudicar a todos esta nova medida,raiva
ficou ridículo,raiva
este sapato esta muito apertado,raiva
a musica e uma ofensa aos meus ouvidos,raiva
não consigo terminar uma tarefa muito difícil,raiva
reprovei em minha graduação,raiva
estou muito chateado com tudo,raiva
eu odeio em você,raiva
e um desprazer conhecê-lo,raiva
estou desperdiçando minhas ferias,raiva
e muito ruim este jogo,raiva
vamos ter muito rancor pela frente,raiva
não achei que seria tão terrível,raiva
vou vetar o orçamento ao cliente,raiva
meus pais não consentiram nosso casamento,raiva
eu odiei este perfume,raiva
seu descaso e frustrante,raiva
me sinto completamente amarga,raiva
desprezo muito o seu trabalho,raiva
estamos descontentes por nossa família,raiva
vou infernizar a sua empresa,raiva
estou furioso com estes valores,raiva
obrigaram o rapaz a sair,raiva
como ele pode deixar de lado?,raiva
são apenas injurias sobre mim,raiva
estou enfurecido com a situação dessa empresa,raiva
estou com o diabo no corpo,raiva
isso foi diabólico,raiva
tenho aversão à gente chata,raiva
não vou perdoar sua traição,raiva
esse dinheiro sujo e corrupto,raiva
eles me crucificam o tempo todo,raiva
eu vou enlouquecer com todo este barulho,raiva
não agüento todo esse assedio,raiva
cólera do dragão,raiva
isso e ridículo!,raiva
"da próxima vez, vou inventar tudo sozinho",raiva
seus tolos! deixaram ele escapar!,raiva
jamais te perdoarei,raiva
o que e isso? outra multa,raiva
você passou dos limites!,raiva
sente-se e cale a boca,raiva
ingratosvermesvocês me pagam!,raiva
"saiam da dai, se não arranco vocês dai!",raiva
você já me causou problemas suficientes,raiva
"que transito maldito, perdi muito tempo parado aqui nessa porra",raiva
"porra, eu nao quero esperar nada, sai da minha frente",raiva
"a bebida esquentou demais, estou muito puto com essa porra",raiva
"ele me traiu com aquela vadia, filho da puta",raiva
uma palavra a mais e eu ja mandaria calar a boca,raiva
eu nao tenho paciencia com gente lerda e burra,raiva
"preconceito me da muita raiva, que povo mais escroto",raiva
"estou nervoso com esta situacao, eu nao mereco passar esta barra sozinho, estou para matar alguem",raiva
"eu estou bastante  e mesma assim nao passei no teste, que merda",raiva
eu faco dieta e constinuo engordando,raiva
isso foi a gota d’agua,raiva
o que você tem com isso?,raiva
não vejo a hora de me livrar de você,raiva
já entendi a jogada seus safados!,raiva
você não merece piedade,raiva
saia de perto de mim,raiva
"suma daqui, ou arranco seu couro!",raiva
estou revoltado com essa situação,raiva
seu idiota!,raiva
"não, eu não vou te emprestar dinheiro!",raiva
você não passa de um cafajeste! vai embora,raiva
pare de frescura e vá trabalhar,raiva
eles merecem uma lição,raiva
ainda estou muito bravo com você,raiva
eu preciso surrar aquela chantagista,raiva
olha o que você fez! derramou!,raiva
você está pedindo pra apanhar!,raiva
me deixa em paz!,raiva
"morra maldito, morra!",raiva
você e mais irritante de perto,raiva
e bom fechar o bico,raiva
magicamente você me surpreendeu,surpresa
e imenso esse globo,surpresa
uau que noticia bacana,surpresa
"uau, eu tambem quero um carro desse para mim",surpresa
"eu nao esperava ele me pedir em casamento, que noticia surpreendente",surpresa
sera que iremos conseguir fugir?,surpresa
descobri que estou gravida,surpresa
qual o resultado do teste?,surpresa
"fascinante esse filme, eu adorei",surpresa
"que susto, eu nao esperava",surpresa
"ue, eu achei que iria chover hoje",surpresa
nunca se sabe,surpresa
quem sera o assassino,surpresa
voce nunca sabera se e homem ou mulher,surpresa
isso e tremendamente interessante,surpresa
"meu bilhete for sorteado, inacreditável!",surpresa
um assalto a mão armada!,surpresa
"incrível, cabe em qualquer lugar!",surpresa
você por aqui?,surpresa
não dá pra acreditar no que ela me contou,surpresa
os convidados já estão chegando!,surpresa
puxa vida! nunca nos livramos de alguem tão depressa,surpresa
"micha carteira sumiu, eu estava com ela na mão",surpresa
oh! um disco voador,surpresa
"amigos, que bela surpresa!",surpresa
nunca pensei que veria isso e perto,surpresa
nem acredito que comi tanto,surpresa
não acredito que veio me ver,surpresa
não acredito que e  tão descarado,surpresa
me surpreende sua falta de tato,surpresa
o predio onde eles moravam desabou!,surpresa
inacreditável um bolo tão grande,surpresa
e serio mesmo? não dá pra acreditar,surpresa
como assim não vai ao nosso encontro?,surpresa
como assim não tem ninguem em casa?,surpresa
"ue, mas para onde ele foi?!",surpresa
por essa eu não esperava,surpresa
"nossa, olha só que mergulho",surpresa
minha esposa está grávida!,surpresa
meu dinheiro sumiu!,surpresa
e verdade que os dois terminaram?!?,surpresa
"caramba, nem vi você chegar",surpresa
"nossa, como pode alguem cozinhar tão mal?",surpresa
nossa que incrível,surpresa
a fórmula sumiu!,surpresa
eu nem acredito que já estou terminando o curso,surpresa
não acredito que esta aqui comigo novamente,surpresa
está escondendo algo de nós!,surpresa
"como assim, ainda não terminou a tarefa",surpresa
pensei que já estivesse pronta!,surpresa
opa! quem apagou a luz?,surpresa
caramba! aonde vai tão rápido?,surpresa
estamos seguindo o caminho errado!,surpresa
quatro reais o litro da gasolina!,surpresa
me assustei ao vê-lo desse jeito!,surpresa
"minha mãe está grávida, acredita nisso?",surpresa
parece mentira você ter crescido tanto,surpresa
me surpreende sua imaginação,surpresa
suas roupas são realmente lindas,surpresa
com consegue ser tão bela?,surpresa
essa e realmente uma casa deslumbrante,surpresa
superou minhas expectativas,surpresa
e admirável a maneira como se comporta,surpresa
isso e realmente chocante,surpresa
algumas noticias me surpreenderam no noticiário,surpresa
surpreendente sua festa,surpresa
"nossa, que top esse filme!, eu nao esperava",surpresa
"cheguei atrasado e me assim consegui entregar o resultado, ufa!",surpresa
"ufa, essa foi por pouco, quase caimos fora",surpresa
quem sabe na proxima vida,surpresa
estou tremendo de alegria,surpresa
chocou grande parte do mundo,surpresa
eu ficaria muito espantado com a sua vinda,surpresa
ele e admirável,surpresa
sua beleza me surpreendeu,surpresa
seus olhos são surpreendentemente verdes,surpresa
os políticos se surpreendem quando alguem acredita neles,surpresa
estou perplexa com essas denuncias,surpresa
fiquei perplexo com suas palavras,surpresa
estou abismado com sua prosa,surpresa
eu ficaria realmente abismado se me dissessem isso,surpresa
o grupo foi surpreendido enquanto lavava o carro,surpresa
estou boquiaberto com as imagens,surpresa
estou boquiaberto com essas suas palavras,surpresa
esse quadro e maravilhoso,surpresa
este carro me deixou maravilhado,surpresa
estou maravilhada,surpresa
"pqp, voce e gay?",surpresa
qual sera o meu salario ano que vem?,surpresa
essa expectativa esta me matando,surpresa
vou caminhar sempre na expectativa de encontrá-lo,surpresa
você emudece minhas palavras,surpresa
minhas palavras vão emudecer se não parar de me surpreender,surpresa
a mulher e um efeito deslumbrante da natureza,surpresa
estou deslumbrada com essas jóias,surpresa
isso e romântico e deslumbrante,surpresa
isso pode ser surpreendentemente deslumbrante,surpresa
trabalho deslumbrante,surpresa
essas pessoas são esplêndida,surpresa
e esplendido como o ceu se encontra no momento,surpresa
e um carro fantástico,surpresa
um edifício realmente fantástico,surpresa
por favor não me abandone,tristeza
não quero ficar sozinha,tristeza
não me deixe sozinha,tristeza
estou abatida,tristeza
"ele entrou em coma para sempre, que dó",tristeza
uma bacteria matou a populacao inteira,tristeza
a miseria tomou conta do pais todo,tristeza
pobreza e miseria matam todos de fome no mundo,tristeza
eu nao aguento mais viver sem ele,tristeza
"eu trabalho muito e nao ganho nada, e triste",tristeza
cancer e triste demais,tristeza
qualquer doenca e terrivel,tristeza
sofrer acidente com trauma e muito dramatico,tristeza
saber que funkeiro ganha mais que professor e de doer o coracao,tristeza
"bati o carro no poste, me ferrei",tristeza
acabaram minhas ferias,tristeza
ficar doente e muito ruim,tristeza
ele me traiu com um vadia,tristeza
meus pais estao doentes,tristeza
depressao e uma doenca silenciosa e mortal,tristeza
ela perdeu o emprego e entrou em depressao profunda,tristeza
amputar um membro devido a doenca e triste demais,tristeza
"filhos pequenos foram separados dos pais na fronteira, que tristeza",tristeza
"os animais sao cacados e mortos a toa, sem razao nenhuma, eu morro de dó",tristeza
sacrificar os animais devido a ganancia e muito triste,tristeza
e bizarro o quanto morre de fome na africa,tristeza
qualquer doenca que cause sequelas e terrivel,tristeza
a guerra so traz destruicao e pobreza,tristeza
saudade faz muito mal para o coracao,tristeza
ele esta todo abatido,tristeza
tão triste suas palavras,tristeza
seu amor não e mais meu,tristeza
estou aborrecida,tristeza
isso vai me aborrecer,tristeza
estou com muita aflição,tristeza
me aflige o modo como fala,tristeza
estou em agonia com meu intimo,tristeza
não quero fazer nada,tristeza
me sinto ansiosa e tensa,tristeza
não consigo parar de chorar,tristeza
não consigo segurar as lagrimas,tristeza
e muita dor perder um ente querido,tristeza
estou realmente arrependida,tristeza
"acho que o carma volta, pois agora sou eu quem sofro",tristeza
você não cumpriu suas promessas,tristeza
me sinto amargurada,tristeza
coitado esta tão triste,tristeza
já e tarde de mais,tristeza
nosso amor acabou,tristeza
essa noite machuca só para mim,tristeza
eu não estou mais no seu coração,tristeza
você mudou comigo,tristeza
quando eu penso em você realmente dói,tristeza
como se fosse nada você vê minhas lagrimas,tristeza
você disse cruelmente que não se arrependeu,tristeza
eu nunca mais vou te ver,tristeza
ela esta com depressão,tristeza
a depressão aflige as pessoas,tristeza
estar depressivo e muito ruim,tristeza
estou derrotada e deprimida depois deste dia,tristeza
e comovente te ver dessa maneira,tristeza
e comovente ver o que os filhos do brasil passam,tristeza
como me sinto culpada,tristeza
estou abatida,tristeza
a ansiedade tomou conta de mim,tristeza
as pessoas não gostam do meu jeito,tristeza
adeus passamos bons momentos juntos,tristeza
sinto sua falta,tristeza
ele não gostou da minha comida,tristeza
estou sem dinheiro para a comida,tristeza
queria que fosse o ultimo dia da minha vida,tristeza
você está com vergonha de mim,tristeza
ela não aceitou a minha proposta,tristeza
era o meu ultimo centavo,tristeza
reprovei de ano na faculdade,tristeza
afinal você só sabe me desfazer,tristeza
eu falhei em tudo nessa vida,tristeza
eu fui muito humilhado,tristeza
e uma história muito triste,tristeza
ninguem acredita em mim,tristeza
eu não sirvo para nada mesmo,tristeza
"droga, não faço nada direito",tristeza
sofrimento em dobro na minha vida,tristeza
fui demitida essa semana,tristeza
as crianças sofrem ainda mais que os adultos,tristeza
"pra mim um dia e ruim, o outro e pior",tristeza
de repente perdi o apetite,tristeza
oh que dia infeliz,tristeza
estamos afundados em contas,tristeza
nem um milagre pode nos salvar,tristeza
só me resta a esperança,tristeza
pior que isso não pode ficar,tristeza
meu salário e baixo,tristeza
não passei no vestibular,tristeza
ninguem se importa comigo,tristeza
ninguem lembrou do meu aniversário,tristeza
tenho tanto azar,tristeza
o gosto da vingança e amargo,tristeza
sou uma mulher amargurada depois de que você me deixou,tristeza
estou desanimada com a vida,tristeza
e um desanimo só coitadinha,tristeza
a derrota e depressiva,tristeza
discriminar e desumano,tristeza
que desanimo,tristeza
e uma desonra para o pais,tristeza
a preocupação deveria nos levar a ação não a depressão,tristeza
passamos ao desalento e a loucura,tristeza
aquele que nunca viu a tristeza nunca reconhecerá a alegria,tristeza
cuidado com a tristeza ela e um vicio,tristeza
não precisei pagar o ingresso,alegria
se eu ajeitar tudo fica bem,alegria
minha fortuna ultrapassa a sua,alegria
sou muito afortunado,alegria
e benefico para todos esta nova medida,alegria
ficou lindo,alegria
achei esse sapato muito simpático,alegria
estou ansiosa pela sua chegada,alegria
congratulações pelo seu aniversário,alegria
delicadamente ele a colocou para dormir,alegria
a musica e linda,alegria
sem musica eu não vivo,alegria
conclui uma tarefa muito difícil,alegria
conclui minha graduação,alegria
estou muito contente com tudo,alegria
eu confio em você,alegria
e um prazer conhecê-lo,alegria
o coleguismo de vocês e animador,alegria
estou aproveitando as ferias,alegria
vamos aproveitar as ferias,alegria
e muito divertido este jogo,alegria
vamos ter muita diversão,alegria
não achei que me divertiria tanto assim,alegria
vou consentir o orçamento ao cliente,alegria
com o consentimento dos meus pais podemos nos casar,alegria
eu adorei este perfume,alegria
sua bondade e cativante,alegria
estou despreocupada,alegria
não me preocupo com o que aconteceu,alegria
me sinto completamente segura,alegria
estimo muito o seu trabalho,alegria
somos estimados por nossa família,alegria
concretizamos nossa ideia,alegria
nosso ideal foi alcançado,alegria
estamos muito felizes juntos,alegria
estou tão animada com os preparativos para o casamento,alegria
você será muito amado meu filho,alegria
os apaixonados são maravilhosos,alegria
agradeço imensamente o seu apoio nestes dias,alegria
esta comida me parece muito atraente,alegria
você me completa,alegria
poderemos completar o projeto hoje!,alegria
estamos namorando,alegria
estou namorando este vestido a um tempo,alegria
pude comprar meu celular hoje,alegria
e um deleite poder compartilhar minhas vitórias,alegria
ela e um boa garota,alegria
estivemos em um ótimo show,alegria
o mundo e feio como o pecado,nojo
a coisa mais difícil de esconder e aquilo que não existe,nojo
você errou feio aquele gol,nojo
nunca vou me casar sou muito feia,nojo
os golpes da adversidade são terrivelmente amargos,nojo
os homem ficam terrivelmente chatos,nojo
abominavelmente convencido,nojo
terrivelmente irritado,nojo
eu bebi demais e vomitei,nojo
eu nao limpo banheiro nem morto,nojo
"nossa, que cheiro de bosta! esta muito fedido",nojo
esta fedido demais aqui,nojo
"esse peixe esta podre, nao coma",nojo
"ele foi jantar sem lavar as maos, que porco",nojo
"nao tem hijeine nenhuma aqui, lixo!",nojo
as instituições publicas estão terrivelmente decadentes,nojo
a população viveu em isolamento por muito tempo,nojo
estou terrivelmente preocupada,nojo
o nacionalismo e uma doença infantil,nojo
se me es antipático a minha negação esta pronta,nojo
muitos documentários sobre esse casal antipático,nojo
sua beleza não desfaça sua antipatia,nojo
esta e uma experiência desagradável,nojo
o homem cuspiu na rua,nojo
a comida estava estragada,nojo
comer inseto e nojento,nojo
desagradável estrago nos banheiros,nojo
o mais irritante no amor e que se trata de um crime que precisa de um cúmplice,nojo
a situação nos causa grande incomodo,nojo
estou preocupado com o incomodo na garganta,nojo
simplesmente não quero amolação da policia,nojo
você e uma criaturinha muito impertinente,nojo
o peso e a dor da vida,nojo
me arrependo amargamente de minhas ações,nojo
o destino e cruel e os homens não são dignos de compaixão,nojo
o ódio conduz ao isolamento cruel e ao desespero,nojo
encerrou com o massacre mais repudiável e asqueroso que se conhece,nojo
de mal gosto e asqueroso,nojo
tudo e inserto neste mundo hediondo,nojo
o crime de corrupção e um crime hediondo,nojo
o rio esta fetido e de cor escura,nojo
muito lixo no rio o deixa malcheiroso,nojo
existe uma laranja podre no grupo e já desconfiamos quem e,nojo
foi de repente estou machucado e me sentindo enjoado,nojo
eu fiquei enojado,nojo
daqui alguns meses vou embora deste pais que já estou nauseado,nojo
que abominável esse montro!,medo
vamos alarmar a todos sobre a situação,medo
estou amedrontada,medo
estou com muito medo da noite,medo
ele esta me ameaçando a dias,medo
quanta angustia,medo
"eu nao gosto de arma, e perigoso",medo
qualquer um tem medo de alguem armado,medo
arrumar briga hoje em dia e muito perigoso,medo
"eu nao reajo em nenhum assalto, to fora!",medo
"esses bichos: cobra, aranha, escorpiao sao horriveis, eu tenho muito medo",medo
"nossa que alto aqui, eu nao gosto de altura",medo
"montanha-russa da muito medo, geralmente eu nao tenho coragem",medo
estou angustiada,medo
angustiadamente vou sair e casa,medo
